"Years bp","non-background Pb Flux (Âµg/m2/a)","11-yr median filtered estimated Lead Emissions (kt/a)"
3185.5,0.18,0.265
3184.5,0.332,0.265
3183.5,0.105,0.272
3182.5,0.111,0.355
3181.5,0.071,0.394
3180.5,0.028,0.333
3179.5,,0.265
3178.5,1.202,0.265
3177.5,0.179,0.251
3176.5,0.161,0.218
3175.5,0.084,0.218
3174.5,0.094,0.218
3173.5,0.125,0.23
3172.5,0.045,0.23
3171.5,0.045,0.23
3170.5,0.023,0.23
3169.5,0.022,0.256
3168.5,0.208,0.256
3167.5,0.104,0.213
3166.5,0.473,0.213
3165.5,0.201,0.213
3164.5,0.122,0.213
3163.5,0.069,0.213
3162.5,0.087,0.213
3161.5,0.057,0.213
3160.5,0.049,0.213
3159.5,0.011,0.213
3158.5,0.01,0.213
3157.5,0.105,0.213
3156.5,0.17,0.257
3155.5,0.154,0.257
3154.5,0.167,0.27
3153.5,0.141,0.27
3152.5,0.084,0.318
3151.5,0.289,0.318
3150.5,0.088,0.27
3149.5,0.11,0.27
3148.5,0.03,0.216
3147.5,0.13,0.206
3146.5,0.024,0.205
3145.5,0.039,0.096
3144.5,0.146,0.096
3143.5,0.084,0.096
3142.5,0.035,0.154
3141.5,0.023,0.154
3140.5,0.011,0.154
3139.5,0.093,0.154
3138.5,0.116,0.154
3137.5,0.063,0.154
3136.5,0.171,0.168
3135.5,0.053,0.229
3134.5,0.005,0.234
3133.5,1.495,0.239
3132.5,0.097,0.203
3131.5,0.068,0.33
3130.5,0.665,0.229
3129.5,,0.229
3128.5,,0.504
3127.5,,0.239
3126.5,0.313,0.591
3125.5,0.089,0.591
3124.5,0.069,0.545
3123.5,1.892,0.591
3122.5,,0.591
3121.5,0.241,0.68
3120.5,0.204,0.68
3119.5,,0.68
3118.5,0.567,0.762
3117.5,,0.673
3116.5,0.865,0.591
3115.5,0.313,0.755
3114.5,0.152,0.755
3113.5,0.308,0.601
3112.5,0.166,0.428
3111.5,0.09,0.408
3110.5,0.352,0.373
3109.5,0.183,0.329
3108.5,0.1,0.244
3107.5,0.048,0.223
3106.5,0.134,0.22
3105.5,0.083,0.205
3104.5,0.091,0.203
3103.5,0.083,0.194
3102.5,0.01,0.118
3101.5,0.079,0.194
3100.5,0.045,0.111
3099.5,0.005,0.049
3098.5,0.004,0.049
3097.5,0.001,0.038
3096.5,0.104,0.049
3095.5,0.02,0.038
3094.5,0.013,0.033
3093.5,0.051,0.033
3092.5,0.016,0.038
3091.5,0.052,0.049
3090.5,-0.062,0.049
3089.5,-0.014,0.076
3088.5,0.012,0.125
3087.5,0.031,0.104
3086.5,0.092,0.129
3085.5,0.344,0.165
3084.5,0.152,0.165
3083.5,0.186,0.165
3082.5,0.042,0.197
3081.5,0.167,0.197
3080.5,,0.211
3079.5,0.013,0.211
3078.5,0.021,0.211
3077.5,0.068,0.211
3076.5,0.047,0.332
3075.5,0.104,0.363
3074.5,0.348,0.373
3073.5,0.293,0.373
3072.5,0.547,0.373
3071.5,0.497,0.373
3070.5,0.192,0.373
3069.5,0.152,0.373
3068.5,0.113,0.366
3067.5,0.095,0.292
3066.5,0.056,0.278
3065.5,0.028,0.278
3064.5,0.149,0.278
3063.5,0.089,0.269
3062.5,0.119,0.233
3061.5,0.086,0.217
3060.5,0.171,0.217
3059.5,0.114,0.217
3058.5,0.11,0.21
3057.5,0.053,0.153
3056.5,0.063,0.129
3055.5,-0.016,0.049
3054.5,-0.019,0.049
3053.5,-0.055,0.049
3052.5,0.02,0.049
3051.5,0.017,0.049
3050.5,-0.008,0.049
3049.5,0.027,0.051
3048.5,0.021,0.067
3047.5,0.118,0.067
3046.5,0.048,0.118
3045.5,0.221,0.135
3044.5,0.109,0.135
3043.5,0.055,0.135
3042.5,0.013,0.135
3041.5,0.106,0.135
3040.5,0.087,0.212
3039.5,0.042,0.212
3038.5,-0.014,0.135
3037.5,0.051,0.212
3036.5,0.263,0.212
3035.5,0.197,0.212
3034.5,0.142,0.231
3033.5,0.034,0.235
3032.5,0.117,0.237
3031.5,0.065,0.237
3030.5,0.094,0.235
3029.5,0.096,0.231
3028.5,0.163,0.231
3027.5,0.096,0.233
3026.5,0.056,0.233
3025.5,0.072,0.233
3024.5,0.077,0.212
3023.5,0.293,0.183
3022.5,,0.162
3021.5,0.292,0.162
3020.5,0.06,0.162
3019.5,0.011,0.137
3018.5,-0.013,0.137
3017.5,0.027,0.137
3016.5,0.119,0.148
3015.5,0.052,0.148
3014.5,0.035,0.155
3013.5,0.241,0.155
3012.5,0.191,0.203
3011.5,0.101,0.203
3010.5,0.083,0.155
3009.5,0.063,0.155
3008.5,0.038,0.203
3007.5,0.157,0.155
3006.5,0.016,0.149
3005.5,0.06,0.147
3004.5,0.033,0.143
3003.5,0.101,0.143
3002.5,0.024,0.147
3001.5,0.061,0.143
3000.5,0.058,0.147
2999.5,0.042,0.149
2998.5,0.076,0.158
2997.5,0.064,0.158
2996.5,0.053,0.167
2995.5,0.146,0.187
2994.5,0.068,0.187
2993.5,0.185,0.187
2992.5,0.103,0.229
2991.5,0.216,0.231
2990.5,0.174,0.231
2989.5,0.055,0.229
2988.5,0.037,0.229
2987.5,0.094,0.152
2986.5,0.094,0.152
2985.5,0.053,0.152
2984.5,0.038,0.152
2983.5,0.007,0.158
2982.5,0.062,0.229
2981.5,0.064,0.158
2980.5,0.112,0.152
2979.5,0.155,0.152
2978.5,0.356,0.155
2977.5,0.305,0.155
2976.5,0.029,0.158
2975.5,0.011,0.155
2974.5,0.047,0.155
2973.5,0.063,0.155
2972.5,0.023,0.155
2971.5,0.094,0.155
2970.5,0.043,0.155
2969.5,0.154,0.155
2968.5,0.078,0.192
2967.5,0.106,0.205
2966.5,0.084,0.205
2965.5,0.042,0.192
2964.5,0.05,0.192
2963.5,0.087,0.127
2962.5,0.089,0.122
2961.5,0.052,0.112
2960.5,0.046,0.112
2959.5,0.036,0.122
2958.5,0.011,0.12
2957.5,0.016,0.112
2956.5,0,0.112
2955.5,0.081,0.112
2954.5,0.056,0.137
2953.5,,0.199
2952.5,,0.218
2951.5,0.18,0.229
2950.5,0.103,0.254
2949.5,1.137,0.254
2948.5,0.093,0.254
2947.5,0.089,0.245
2946.5,0.17,0.245
2945.5,0.133,0.236
2944.5,0.043,0.232
2943.5,0.032,0.229
2942.5,0.096,0.227
2941.5,,0.236
2940.5,,0.171
2939.5,,0.106
2938.5,,0.157
2937.5,,0.236
2936.5,,
2935.5,,
2934.5,,
2933.5,,0.117
2932.5,,0.234
2931.5,,0.117
2930.5,,0.121
2929.5,,0.125
2928.5,0.048,0.121
2927.5,0.143,0.117
2926.5,0.018,0.121
2925.5,0.051,0.125
2924.5,0.119,0.136
2923.5,0.037,0.146
2922.5,-0.019,0.291
2921.5,0.123,0.146
2920.5,0.06,0.281
2919.5,0.258,0.291
2918.5,0.274,0.293
2917.5,0.139,0.301
2916.5,0.029,0.301
2915.5,0.114,0.293
2914.5,0.12,0.293
2913.5,0.193,0.281
2912.5,0.155,0.203
2911.5,0.066,0.203
2910.5,0.078,0.281
2909.5,0.034,0.293
2908.5,0.083,0.381
2907.5,0.052,0.381
2906.5,0.267,0.378
2905.5,0.787,0.549
2904.5,0.44,0.549
2903.5,0.224,0.549
2902.5,0.402,0.549
2901.5,0.154,0.549
2900.5,0.252,0.378
2899.5,0.152,0.375
2898.5,-0.017,0.372
2897.5,0.036,0.267
2896.5,0.153,0.267
2895.5,0.044,0.257
2894.5,0.036,0.235
2893.5,0.109,0.19
2892.5,0.105,0.222
2891.5,0.111,0.229
2890.5,0.078,0.229
2889.5,0.096,0.229
2888.5,0.058,0.229
2887.5,0.091,0.208
2886.5,,0.192
2885.5,0.13,0.189
2884.5,0.068,0.191
2883.5,0.079,0.191
2882.5,0.01,0.191
2881.5,0.077,0.191
2880.5,0.023,0.191
2879.5,0.417,0.185
2878.5,0.41,0.191
2877.5,0.034,0.219
2876.5,0.102,0.25
2875.5,,0.261
2874.5,0.074,0.261
2873.5,0.182,0.25
2872.5,0.115,0.181
2871.5,,0.181
2870.5,0.106,0.147
2869.5,0.06,0.164
2868.5,0.04,0.134
2867.5,0.016,0.128
2866.5,0.001,0.128
2865.5,0.039,0.133
2864.5,0.122,0.133
2863.5,0.05,0.133
2862.5,0.054,0.294
2861.5,0.298,0.294
2860.5,0.139,0.294
2859.5,0.134,0.294
2858.5,0.12,0.273
2857.5,0.122,0.273
2856.5,0.028,0.294
2855.5,0.111,0.294
2854.5,0.044,0.294
2853.5,0.063,0.284
2852.5,0.014,0.286
2851.5,0.152,0.293
2850.5,0.128,0.343
2849.5,1.197,0.343
2848.5,,0.343
2847.5,0.268,0.343
2846.5,0.267,0.343
2845.5,0.172,0.295
2844.5,0.111,0.275
2843.5,0.11,0.271
2842.5,0.102,0.269
2841.5,0.026,0.249
2840.5,0.113,0.235
2839.5,0.085,0.235
2838.5,0.039,0.208
2837.5,0.096,0.208
2836.5,0.022,0.208
2835.5,0.074,0.208
2834.5,0.182,0.208
2833.5,0.024,0.183
2832.5,0.087,0.214
2831.5,0.141,0.214
2830.5,0.039,0.214
2829.5,0.092,0.214
2828.5,0.067,0.214
2827.5,0.185,0.218
2826.5,0.144,0.226
2825.5,0.005,0.224
2824.5,0.032,0.226
2823.5,0.097,0.238
2822.5,0.089,0.259
2821.5,0.124,0.248
2820.5,0.091,0.248
2819.5,0.15,0.267
2818.5,0.106,0.289
2817.5,0.112,0.335
2816.5,,0.374
2815.5,0.156,0.416
2814.5,0.204,0.45
2813.5,0.189,0.45
2812.5,0.354,0.45
2811.5,0.415,0.45
2810.5,0.184,0.416
2809.5,,0.409
2808.5,0.108,0.35
2807.5,0.15,0.324
2806.5,0.135,0.29
2805.5,0.108,0.29
2804.5,0.105,0.265
2803.5,0.129,0.264
2802.5,0.103,0.257
2801.5,0.06,0.252
2800.5,0.156,0.252
2799.5,0.099,0.252
2798.5,0.092,0.252
2797.5,0.096,0.242
2796.5,0.097,0.238
2795.5,0.136,0.242
2794.5,0.112,0.242
2793.5,0.153,0.275
2792.5,0.058,0.287
2791.5,0.079,0.333
2790.5,0.332,0.333
2789.5,0.206,0.287
2788.5,0.117,0.287
2787.5,0.159,0.224
2786.5,0.209,0.259
2785.5,0.092,0.287
2784.5,0.079,0.259
2783.5,-0.204,0.242
2782.5,-0.027,0.214
2781.5,0.106,0.214
2780.5,0.152,0.214
2779.5,0.054,0.198
2778.5,,0.231
2777.5,0.083,0.241
2776.5,0.284,0.272
2775.5,0.116,0.291
2774.5,0.046,0.291
2773.5,0.122,0.301
2772.5,0.091,0.302
2771.5,0.123,0.302
2770.5,0.125,0.299
2769.5,0.204,0.299
2768.5,0.263,0.302
2767.5,0.174,0.302
2766.5,0.119,0.306
2765.5,0.062,0.34
2764.5,0.07,0.359
2763.5,0.146,0.34
2762.5,0.1,0.292
2761.5,0.139,0.246
2760.5,0.208,0.246
2759.5,0.255,0.34
2758.5,-0.007,0.353
2757.5,0.035,0.353
2756.5,0.075,0.353
2755.5,0.144,0.353
2754.5,0.225,0.353
2753.5,0.172,0.317
2752.5,0.212,0.353
2751.5,0.109,0.422
2750.5,0.115,0.521
2749.5,0.571,0.536
2748.5,,0.521
2747.5,,0.96
2746.5,1.375,1.399
2745.5,0.574,1.404
2744.5,,1.409
2743.5,,1.409
2742.5,,1.221
2741.5,,1.033
2740.5,,0.73
2739.5,,0.566
2738.5,0.421,0.558
2737.5,0.298,0.549
2736.5,0.224,0.482
2735.5,0.169,0.415
2734.5,0.231,0.482
2733.5,0.135,0.482
2732.5,0.116,0.415
2731.5,0.061,0.415
2730.5,0.03,0.415
2729.5,0.287,0.536
2728.5,,0.331
2727.5,,0.313
2726.5,0.446,0.383
2725.5,0.246,0.383
2724.5,0.219,0.383
2723.5,0.06,0.356
2722.5,0.128,0.356
2721.5,0.156,0.356
2720.5,0.087,0.321
2719.5,0.134,0.321
2718.5,,0.268
2717.5,,0.313
2716.5,,0.268
2715.5,0.091,0.221
2714.5,0.171,0.233
2713.5,0.089,0.233
2712.5,0.128,0.233
2711.5,-0.06,0.233
2710.5,0.082,0.233
2709.5,0.099,0.231
2708.5,0.143,0.231
2707.5,,0.227
2706.5,,0.227
2705.5,,0.265
2704.5,0.087,0.32
2703.5,0.118,0.34
2702.5,-0.02,0.319
2701.5,0.315,0.308
2700.5,0.215,0.298
2699.5,0.193,0.308
2698.5,0.134,0.329
2697.5,0.126,0.362
2696.5,0.061,0.412
2695.5,0.088,0.379
2694.5,0.178,0.379
2693.5,0.173,0.379
2692.5,0.147,0.412
2691.5,0.168,0.425
2690.5,0.155,0.425
2689.5,0.246,0.425
2688.5,0.189,0.412
2687.5,0.236,0.379
2686.5,0.224,0.405
2685.5,0.097,0.405
2684.5,0.148,0.405
2683.5,0.09,0.364
2682.5,0.085,0.336
2681.5,0.165,0.324
2680.5,0.183,0.324
2679.5,0.137,0.324
2678.5,0.07,0.315
2677.5,0.01,0.315
2676.5,0.132,0.324
2675.5,0.137,0.324
2674.5,0.129,0.315
2673.5,0.118,0.315
2672.5,0.117,0.324
2671.5,0.206,0.33
2670.5,0.23,0.335
2669.5,0.094,0.33
2668.5,0.159,0.33
2667.5,0.152,0.365
2666.5,0.135,0.374
2665.5,0.149,0.365
2664.5,0.099,0.33
2663.5,0.074,0.33
2662.5,0.227,0.292
2661.5,0.399,0.289
2660.5,0.118,0.289
2659.5,0.119,0.243
2658.5,0.068,0.287
2657.5,0.084,0.287
2656.5,0.099,0.243
2655.5,0.126,0.243
2654.5,0.051,0.243
2653.5,0.117,0.206
2652.5,0.081,0.243
2651.5,0.062,0.287
2650.5,0.22,0.309
2649.5,0.273,0.287
2648.5,0.084,0.492
2647.5,0.202,0.492
2646.5,0.232,0.492
2645.5,0.243,0.492
2644.5,0.061,0.222
2643.5,0.201,0.222
2642.5,0.089,0.222
2641.5,0.091,0.219
2640.5,0.084,0.219
2639.5,0.08,0.219
2638.5,0.149,0.222
2637.5,0.074,0.222
2636.5,0.083,0.254
2635.5,0.107,0.254
2634.5,0.104,0.263
2633.5,0.224,0.365
2632.5,0.285,0.263
2631.5,0.166,0.263
2630.5,0.064,0.263
2629.5,2.035,0.388
2628.5,0.173,0.407
2627.5,0.099,0.407
2626.5,0.036,0.388
2625.5,0.061,0.388
2624.5,0.158,0.425
2623.5,0.188,0.407
2622.5,0.24,0.327
2621.5,0.108,0.327
2620.5,0.252,0.327
2619.5,0.234,0.327
2618.5,,0.331
2617.5,0.057,0.223
2616.5,0.01,0.2
2615.5,0.074,0.2
2614.5,0.004,0.187
2613.5,0.162,0.18
2612.5,0.073,0.18
2611.5,0.089,0.181
2610.5,0.294,0.193
2609.5,0.079,0.219
2608.5,0.032,0.221
2607.5,,0.221
2606.5,,0.238
2605.5,0.205,0.316
2604.5,0.09,0.316
2603.5,0.097,0.352
2602.5,0.129,0.434
2601.5,1.977,0.393
2600.5,0.198,0.352
2599.5,0.143,0.352
2598.5,0.181,0.434
2597.5,0.177,0.445
2596.5,0.088,0.484
2595.5,0.094,0.484
2594.5,0.589,0.459
2593.5,0.293,0.501
2592.5,0.291,0.52
2591.5,0.64,0.52
2590.5,0.71,0.52
2589.5,0.187,0.52
2588.5,0.204,0.501
2587.5,0.212,0.459
2586.5,0.16,0.393
2585.5,0.134,0.329
2584.5,0.093,0.228
2583.5,0.069,0.213
2582.5,0.075,0.213
2581.5,0.081,0.213
2580.5,-0.036,0.199
2579.5,0.029,0.184
2578.5,0.087,0.184
2577.5,0.246,0.199
2576.5,0.135,0.213
2575.5,0.005,0.297
2574.5,0.052,0.297
2573.5,0.121,0.297
2572.5,0.164,0.297
2571.5,0.187,0.183
2570.5,0.227,0.183
2569.5,0.074,0.237
2568.5,0.01,0.297
2567.5,0.058,0.312
2566.5,0.071,0.312
2565.5,0.097,0.237
2564.5,0.305,0.237
2563.5,0.287,0.237
2562.5,0.127,0.237
2561.5,0.241,0.25
2560.5,0.056,0.25
2559.5,0.102,0.25
2558.5,0.038,0.249
2557.5,0.095,0.233
2556.5,0.108,0.17
2555.5,0.058,0.17
2554.5,0.005,0.17
2553.5,0.102,0.17
2552.5,0.069,0.201
2551.5,0.021,0.209
2550.5,0.19,0.209
2549.5,-0.097,0.293
2548.5,0.214,0.376
2547.5,,0.376
2546.5,0.137,0.376
2545.5,0.219,0.376
2544.5,0.169,0.376
2543.5,0.317,0.403
2542.5,0.058,0.364
2541.5,0.088,0.392
2540.5,0.119,0.415
2539.5,0.257,0.415
2538.5,0.16,0.392
2537.5,0.095,0.392
2536.5,0.61,0.459
2535.5,0.428,0.55
2534.5,0.187,0.59
2533.5,0.13,0.55
2532.5,0.224,0.55
2531.5,0.325,0.55
2530.5,0.411,0.459
2529.5,,0.318
2528.5,,0.291
2527.5,0.094,0.291
2526.5,0.033,0.291
2525.5,0.094,0.291
2524.5,0.08,0.291
2523.5,0.119,0.261
2522.5,0.152,0.269
2521.5,0.129,0.291
2520.5,0.138,0.315
2519.5,0.185,0.316
2518.5,0.085,0.338
2517.5,0.11,0.34
2516.5,0.139,0.34
2515.5,0.129,0.34
2514.5,0.182,0.345
2513.5,0.224,0.34
2512.5,0.145,0.34
2511.5,0.141,0.345
2510.5,0.073,0.345
2509.5,0.145,0.355
2508.5,0.087,0.355
2507.5,0.118,0.35
2506.5,0.151,0.318
2505.5,0.118,0.29
2504.5,0.199,0.323
2503.5,0.186,0.29
2502.5,,0.296
2501.5,0.075,0.296
2500.5,0.106,0.274
2499.5,0.171,0.244
2498.5,0.083,0.223
2497.5,0.123,0.211
2496.5,0.093,0.218
2495.5,0.089,0.229
2494.5,0.032,0.218
2493.5,0.005,0.204
2492.5,0.078,0.218
2491.5,0.158,0.218
2490.5,0.178,0.218
2489.5,0.07,0.376
2488.5,0.071,0.38
2487.5,0.17,0.38
2486.5,0.158,0.387
2485.5,0.153,0.387
2484.5,0.216,0.387
2483.5,0.155,0.416
2482.5,0.094,0.416
2481.5,0.202,0.387
2480.5,0.189,0.425
2479.5,0.185,0.454
2478.5,0.173,0.454
2477.5,0.135,0.464
2476.5,0.125,0.492
2475.5,0.21,0.464
2474.5,0.411,0.454
2473.5,0.21,0.425
2472.5,0.201,0.338
2471.5,0.269,0.338
2470.5,0.062,0.343
2469.5,0.062,0.343
2468.5,0.051,0.343
2467.5,0.138,0.343
2466.5,0.094,0.343
2465.5,0.14,0.343
2464.5,0.351,0.356
2463.5,0.238,0.375
2462.5,0.469,0.375
2461.5,0.145,0.375
2460.5,0.153,0.375
2459.5,0.246,0.389
2458.5,0.159,0.389
2457.5,0.007,0.375
2456.5,0.097,0.375
2455.5,0.148,0.375
2454.5,0.257,0.366
2453.5,0.208,0.362
2452.5,0.124,0.304
2451.5,0.266,0.362
2450.5,0.149,0.366
2449.5,0.119,0.51
2448.5,0.123,0.408
2447.5,0.117,0.408
2446.5,0.223,0.408
2445.5,0.392,0.408
2444.5,0.261,0.429
2443.5,0.166,0.429
2442.5,0.175,0.468
2441.5,0.161,0.547
2440.5,0.237,0.58
2439.5,0.191,0.58
2438.5,0.099,0.468
2437.5,0.256,0.468
2436.5,0.45,0.468
2435.5,0.317,0.58
2434.5,0.309,0.495
2433.5,0.145,0.495
2432.5,0.119,0.495
2431.5,0.175,0.495
2430.5,0.272,0.495
2429.5,0.202,0.495
2428.5,0.109,0.495
2427.5,0.11,0.648
2426.5,0.269,0.658
2425.5,0.264,0.666
2424.5,1.293,0.781
2423.5,2.179,0.781
2422.5,0.486,0.781
2421.5,0.319,0.781
2420.5,0.604,0.781
2419.5,0.345,0.781
2418.5,0.167,0.633
2417.5,0.207,0.52
2416.5,0.186,0.514
2415.5,0.196,0.514
2414.5,0.258,0.514
2413.5,0.157,0.507
2412.5,0.212,0.514
2411.5,0.21,0.514
2410.5,0.257,0.514
2409.5,0.247,0.514
2408.5,0.203,0.497
2407.5,0.28,0.514
2406.5,0.122,0.497
2405.5,0.202,0.496
2404.5,0.132,0.323
2403.5,0.127,0.323
2402.5,0.287,0.323
2401.5,0.132,0.311
2400.5,0.109,0.323
2399.5,0.092,0.323
2398.5,0.073,0.311
2397.5,0.169,0.323
2396.5,0.116,0.323
2395.5,0.289,0.325
2394.5,0.241,0.325
2393.5,0.122,0.325
2392.5,0.232,0.325
2391.5,0.132,0.299
2390.5,0.139,0.299
2389.5,0.05,0.299
2388.5,0.044,0.299
2387.5,0.117,0.325
2386.5,0.116,0.286
2385.5,0.115,0.286
2384.5,0.183,0.286
2383.5,1.615,0.343
2382.5,0.258,0.448
2381.5,0.031,0.482
2380.5,0.215,0.527
2379.5,0.286,0.527
2378.5,0.14,0.527
2377.5,0.263,0.482
2376.5,0.197,0.482
2375.5,0.24,0.482
2374.5,0.13,0.432
2373.5,0.129,0.432
2372.5,0.176,0.482
2371.5,0.272,0.432
2370.5,0.148,0.362
2369.5,0.12,0.318
2368.5,0.257,0.316
2367.5,0.25,0.311
2366.5,0.127,0.311
2365.5,0.108,0.311
2364.5,0.108,0.294
2363.5,0.117,0.288
2362.5,0.003,0.266
2361.5,0.13,0.266
2360.5,0.237,0.266
2359.5,0.089,0.266
2358.5,0.077,0.271
2357.5,0.09,0.271
2356.5,0.183,0.31
2355.5,0.11,0.271
2354.5,0.072,0.235
2353.5,0.127,0.235
2352.5,0.323,0.271
2351.5,0.237,0.31
2350.5,0.096,0.299
2349.5,0.071,0.31
2348.5,0.084,0.411
2347.5,0.167,0.451
2346.5,0.195,0.451
2345.5,0.122,0.451
2344.5,0.341,0.451
2343.5,0.184,0.451
2342.5,0.552,0.451
2341.5,0.338,0.451
2340.5,0.184,0.451
2339.5,0.158,0.451
2338.5,0.11,0.387
2337.5,0.099,0.364
2336.5,0.056,0.364
2335.5,0.246,0.364
2334.5,0.116,0.364
2333.5,0.078,0.364
2332.5,0.149,0.364
2331.5,0.175,0.381
2330.5,0.201,0.381
2329.5,0.171,0.364
2328.5,0.245,0.364
2327.5,0.12,0.364
2326.5,0.155,0.294
2325.5,0.072,0.294
2324.5,0.095,0.232
2323.5,0.056,0.232
2322.5,0.062,0.232
2321.5,0.045,0.232
2320.5,0.161,0.178
2319.5,0.055,0.232
2318.5,0.125,0.307
2317.5,0.155,0.307
2316.5,0.125,0.307
2315.5,0.06,0.307
2314.5,0.364,0.307
2313.5,0.14,0.307
2312.5,0.062,0.304
2311.5,0.049,0.301
2310.5,0.08,0.197
2309.5,0.161,0.197
2308.5,0.123,0.197
2307.5,,0.151
2306.5,,0.12
2305.5,0.017,0.125
2304.5,0.047,0.125
2303.5,0.125,0.125
2302.5,0.015,0.125
2301.5,0.041,0.159
2300.5,0.051,0.193
2299.5,0.079,0.242
2298.5,0.182,0.306
2297.5,0.194,0.277
2296.5,0.099,0.33
2295.5,0.253,0.349
2294.5,0.276,0.349
2293.5,0.134,0.398
2292.5,0.113,0.349
2291.5,0.142,0.339
2290.5,0.223,0.349
2289.5,0.13,0.339
2288.5,,0.339
2287.5,,0.448
2286.5,,0.617
2285.5,,0.617
2284.5,,0.645
2283.5,1.687,0.947
2282.5,1.135,1.208
2281.5,0.28,0.947
2280.5,0.221,0.733
2279.5,0.246,0.71
2278.5,0.492,0.687
2277.5,0.618,0.687
2276.5,0.258,0.633
2275.5,0.299,0.602
2274.5,0.18,0.602
2273.5,0.056,0.577
2272.5,0.433,0.442
2271.5,0.097,0.442
2270.5,0.104,0.42
2269.5,0.235,0.42
2268.5,0.171,0.42
2267.5,0.169,0.577
2266.5,0.252,0.577
2265.5,0.171,0.617
2264.5,0.474,0.617
2263.5,0.269,0.661
2262.5,0.381,0.73
2261.5,0.312,0.73
2260.5,0.298,0.73
2259.5,0.185,0.748
2258.5,0.314,0.721
2257.5,0.499,0.721
2256.5,0.235,0.676
2255.5,0.261,0.608
2254.5,,0.608
2253.5,0.29,0.631
2252.5,0.14,0.599
2251.5,0.139,0.599
2250.5,0.148,0.583
2249.5,0.275,0.583
2248.5,0.254,0.623
2247.5,0.199,0.623
2246.5,0.273,0.668
2245.5,0.222,0.674
2244.5,0.284,0.686
2243.5,0.324,0.696
2242.5,0.48,0.696
2241.5,0.311,0.696
2240.5,0.28,0.704
2239.5,0.291,0.737
2238.5,0.376,0.778
2237.5,0.228,0.737
2236.5,0.193,0.7
2235.5,,0.7
2234.5,0.326,0.735
2233.5,0.678,0.694
2232.5,0.222,0.602
2231.5,0.257,0.632
2230.5,0.442,0.632
2229.5,0.309,0.63
2228.5,0.204,0.623
2227.5,0.234,0.623
2226.5,0.258,0.623
2225.5,0.186,0.623
2224.5,0.215,0.623
2223.5,0.254,0.623
2222.5,0.305,0.633
2221.5,0.236,0.633
2220.5,0.399,0.623
2219.5,0.503,0.724
2218.5,0.334,0.748
2217.5,0.341,0.783
2216.5,0.235,0.827
2215.5,0.176,0.827
2214.5,0.295,0.775
2213.5,0.375,0.775
2212.5,,0.784
2211.5,0.361,0.728
2210.5,0.299,0.809
2209.5,0.249,0.899
2208.5,0.467,0.899
2207.5,0.372,0.847
2206.5,0.214,0.886
2205.5,0.375,0.912
2204.5,0.579,0.912
2203.5,0.317,0.919
2202.5,0.329,0.912
2201.5,0.394,0.919
2200.5,0.866,0.942
2199.5,0.325,0.92
2198.5,0.639,0.92
2197.5,0.357,0.92
2196.5,0.47,0.92
2195.5,,0.873
2194.5,0.355,0.869
2193.5,0.431,0.873
2192.5,0.354,0.869
2191.5,0.207,0.802
2190.5,0.301,0.747
2189.5,0.213,0.756
2188.5,0.472,0.737
2187.5,0.216,0.687
2186.5,0.2,0.53
2185.5,0.308,0.53
2184.5,0.435,0.53
2183.5,0.28,0.53
2182.5,0.212,0.53
2181.5,0.169,0.567
2180.5,0.128,0.567
2179.5,0.236,0.519
2178.5,0.2,0.491
2177.5,0.3,0.452
2176.5,0.231,0.433
2175.5,0.184,0.452
2174.5,-0.063,0.471
2173.5,0.076,0.452
2172.5,0.157,0.418
2171.5,,0.384
2170.5,,0.384
2169.5,,0.384
